scenario_id,policy,gamma,planned_trajectory_relpath,run_id,status,drive_url,artifact_manifest_sha256
scenario_01,SafeMPPI,0.1,TBD,TBD,PLANNED,TBD,TBD
scenario_01,SafeMPPI,0.3,TBD,TBD,PLANNED,TBD,TBD
scenario_01,SafeMPPI,0.5,TBD,TBD,PLANNED,TBD,TBD
scenario_01,SafeMPPI,1.0,TBD,TBD,PLANNED,TBD,TBD
scenario_01,pretrained_flow,0.1,TBD,TBD,PLANNED,TBD,TBD
scenario_01,pretrained_flow,0.3,TBD,TBD,PLANNED,TBD,TBD
scenario_01,pretrained_flow,0.5,TBD,TBD,PLANNED,TBD,TBD
scenario_01,pretrained_flow,1.0,TBD,TBD,PLANNED,TBD,TBD
scenario_02,SafeMPPI,0.1,TBD,TBD,PLANNED,TBD,TBD
scenario_02,SafeMPPI,0.3,TBD,TBD,PLANNED,TBD,TBD
scenario_02,SafeMPPI,0.5,TBD,TBD,PLANNED,TBD,TBD
scenario_02,SafeMPPI,1.0,TBD,TBD,PLANNED,TBD,TBD
scenario_02,pretrained_flow,0.1,TBD,TBD,PLANNED,TBD,TBD
scenario_02,pretrained_flow,0.3,TBD,TBD,PLANNED,TBD,TBD
scenario_02,pretrained_flow,0.5,TBD,TBD,PLANNED,TBD,TBD
scenario_02,pretrained_flow,1.0,TBD,TBD,PLANNED,TBD,TBD
scenario_03,SafeMPPI,0.1,TBD,TBD,PLANNED,TBD,TBD
scenario_03,SafeMPPI,0.3,TBD,TBD,PLANNED,TBD,TBD
scenario_03,SafeMPPI,0.5,TBD,TBD,PLANNED,TBD,TBD
scenario_03,SafeMPPI,1.0,TBD,TBD,PLANNED,TBD,TBD
scenario_03,pretrained_flow,0.1,TBD,TBD,PLANNED,TBD,TBD
scenario_03,pretrained_flow,0.3,TBD,TBD,PLANNED,TBD,TBD
scenario_03,pretrained_flow,0.5,TBD,TBD,PLANNED,TBD,TBD
scenario_03,pretrained_flow,1.0,TBD,TBD,PLANNED,TBD,TBD
