flight_id,group,policy,gamma,mode,seed,simulated_status,hardware_eligibility,flight_reference,flight_reference_sha256,source_archive,source_archive_sha256
0808_expanded_quality_v2_gamma_0p1_mode_above_seed_108992,expanded_quality_v2,expanded_reserve_G_nfe12,0.10000000149011612,above,108992,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p1_mode_above_seed_108992_100hz.npz,6e62c7c491310cc935447f59b7b84de1268094576d92c8a583b485fbd4dd7b4c,trajectories/expanded_quality_v2/gamma_0p1_mode_above_seed_108992.npz,998b562c8e5664bc22cc27fb0e168d4b222ec2a30b1ed6a11b110188feeed494
0808_expanded_quality_v2_gamma_0p1_mode_below_seed_105625,expanded_quality_v2,expanded_reserve_G_nfe12,0.10000000149011612,below,105625,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p1_mode_below_seed_105625_100hz.npz,d4152f9b540cb929daada4e525742eed05053d1e3a5b1d4034991210f4e2828c,trajectories/expanded_quality_v2/gamma_0p1_mode_below_seed_105625.npz,a15895d0ffd6ae82a2ca708524a6384d8d6133846f3258fca33f15e198507eb0
0808_expanded_quality_v2_gamma_0p1_mode_left_seed_104626,expanded_quality_v2,expanded_reserve_G_nfe12,0.10000000149011612,left,104626,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p1_mode_left_seed_104626_100hz.npz,9c878a471cf14f6e832e8757227252dd16560c05b9e8aba8bc4db8f4eeb90a0e,trajectories/expanded_quality_v2/gamma_0p1_mode_left_seed_104626.npz,aa4b75c7178a6a6b5866b16fff65107de039201ec3a4746e78f4bdbef2b0d141
0808_expanded_quality_v2_gamma_0p1_mode_right_seed_104108,expanded_quality_v2,expanded_reserve_G_nfe12,0.10000000149011612,right,104108,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p1_mode_right_seed_104108_100hz.npz,9b3096ebc5cb01cf6065bdc6e915de30af2899dbe73f6205c8464243607dee6c,trajectories/expanded_quality_v2/gamma_0p1_mode_right_seed_104108.npz,3562624223b6684a383823baa7041002e02de64f138c940303e5642edcaf2097
0808_expanded_quality_v2_gamma_0p3_mode_above_seed_115588,expanded_quality_v2,expanded_reserve_G_nfe12,0.30000001192092896,above,115588,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p3_mode_above_seed_115588_100hz.npz,11714f6b2cc0966940c3ee2fa6ee4532e05e9c6b4618db2c10d45acd7ff40496,trajectories/expanded_quality_v2/gamma_0p3_mode_above_seed_115588.npz,07cc872c4ce7a15ed210d65ff59652452b40cd4bdfa9bcff5f66d7ce1af0b34a
0808_expanded_quality_v2_gamma_0p3_mode_below_seed_118918,expanded_quality_v2,expanded_reserve_G_nfe12,0.30000001192092896,below,118918,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p3_mode_below_seed_118918_100hz.npz,90a7ea6bb3288ae3150a0cb5b821bee73a4a6bde02779a4d1178fde2b46e4163,trajectories/expanded_quality_v2/gamma_0p3_mode_below_seed_118918.npz,dad15c1b01785cefcdd0c1bc416a1b91f6dac26934ca1a3aa72321ee4d863b91
0808_expanded_quality_v2_gamma_0p3_mode_left_seed_92369,expanded_quality_v2,expanded_reserve_G_nfe12,0.30000001192092896,left,92369,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p3_mode_left_seed_92369_100hz.npz,16ccc1057c28d80b3ce292de4f12d7ea25be9c8db9da7ad7046e983086c9b8e9,trajectories/expanded_quality_v2/gamma_0p3_mode_left_seed_92369.npz,cc0432c05a5d649de84f3da07e741f3580898b187557263c17e62302a8666670
0808_expanded_quality_v2_gamma_0p3_mode_right_seed_124542,expanded_quality_v2,expanded_reserve_G_nfe12,0.30000001192092896,right,124542,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p3_mode_right_seed_124542_100hz.npz,b9c4c7e3a2b94bd99625593ef98d1acca6d12e7e7a3920125cc15f5fa6242a3b,trajectories/expanded_quality_v2/gamma_0p3_mode_right_seed_124542.npz,03d362e8be2d9d8a7c30fdf9b5108ba3bb86192de221f0dc0f419a42197b7394
0808_expanded_quality_v2_gamma_0p5_mode_above_seed_130398,expanded_quality_v2,expanded_reserve_G_nfe12,0.5,above,130398,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p5_mode_above_seed_130398_100hz.npz,e464cc4a192ee5619c880d0c2ca90e387e3b7ab1a4aa532a55612797e4a31595,trajectories/expanded_quality_v2/gamma_0p5_mode_above_seed_130398.npz,fd80c1aff1531160c70d1f4beb3f342bfc9f5b01e4fa671005258f5d1eb0dfc8
0808_expanded_quality_v2_gamma_0p5_mode_below_seed_132470,expanded_quality_v2,expanded_reserve_G_nfe12,0.5,below,132470,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded_quality_v2/gamma_0p5_mode_below_seed_132470_100hz.npz,e51f9c35a51388f475d1cd1f7aaf60363010ef4b5fd0693d0e9cf0ee9bf6cb06,trajectories/expanded_quality_v2/gamma_0p5_mode_below_seed_132470.npz,38789dde656f69103616a266a7adb702d8712f049db06fb70105355007a634a2
