gamma,seed,status,mode,theta_deg,steps,min_clearance_m,time_to_goal_s,mean_feasible_fraction
0.1,0,SUCCESS,above,57.2583895584967,82,0.16552280267001285,8.200000000000001,0.5501143292682927
0.1,1,SUCCESS,left,-39.2897461037177,80,0.19643591769129498,8.0,0.4702392578125
0.1,2,SUCCESS,above,61.59817613736519,86,0.09862975647159372,8.6,0.535133539244186
0.1,3,SUCCESS,below,-49.12003463594384,89,0.07560790244676002,8.9,0.4353054775280899
0.1,4,SUCCESS,above,61.771129346708804,88,0.0552449793071636,8.8,0.5668501420454546
0.1,5,SUCCESS,above,107.36693737342122,82,0.10518741814807125,8.200000000000001,0.5943216463414634
0.1,6,SUCCESS,below,-121.56897743951815,90,0.041030387050039974,9.0,0.4575737847222222
0.1,7,SUCCESS,left,-35.72065330019493,81,0.17170147970054483,8.1,0.48714795524691357
0.1,8,SUCCESS,left,18.364462933206532,97,0.04606106840513596,9.700000000000001,0.5415995489690721
0.1,9,SUCCESS,right,147.2777176930456,76,0.23438822479225185,7.6000000000000005,0.638903166118421
0.1,10,SUCCESS,right,173.49263760854598,95,0.06576018772680425,9.5,0.4591488486842105
0.1,11,SUCCESS,below,-81.59748813536002,86,0.08569733801505491,8.6,0.41485737645348836
0.1,12,SUCCESS,below,-126.02523698345847,86,0.10695844387064307,8.6,0.49504905523255816
0.1,13,SUCCESS,right,179.69074208685572,84,0.11985867021136654,8.4,0.5499441964285714
0.1,14,SUCCESS,below,-132.938884187693,85,0.08841462575240655,8.5,0.4955422794117647
0.1,15,SUCCESS,left,27.6747005934041,78,0.2416863639591783,7.800000000000001,0.5776492387820513
0.1,16,SUCCESS,right,-139.07680190538213,79,0.16145717185947717,7.9,0.5121143196202531
0.1,17,SUCCESS,above,67.68136729220593,80,0.09658076707413238,8.0,0.555859375
0.1,18,SUCCESS,left,-44.89898920023512,86,0.12392301715788628,8.6,0.43438862645348836
0.1,19,SUCCESS,left,-40.470615453749346,84,0.09665762924654758,8.4,0.45228794642857145
0.1,20,SUCCESS,above,48.829458650376495,77,0.1871690769408747,7.7,0.5645799512987013
0.1,21,SUCCESS,below,-109.54042031530525,93,0.08840511917867416,9.3,0.4461945564516129
0.1,22,SUCCESS,below,-45.41167135261141,90,0.06946593520273614,9.0,0.4335720486111111
0.1,23,SUCCESS,below,-60.26744548151386,92,0.07810029474476843,9.200000000000001,0.418265964673913
0.1,24,SUCCESS,left,14.693365489932757,79,0.2201280128966241,7.9,0.5797567246835443
0.1,25,SUCCESS,above,69.4525123459103,80,0.18095359333686056,8.0,0.56083984375
0.1,26,SUCCESS,left,-33.75563644844762,81,0.14465353685226823,8.1,0.5030381944444444
0.1,27,SUCCESS,left,-35.885689751345524,83,0.12491334972783125,8.3,0.48717526355421686
0.1,28,SUCCESS,left,-7.647093543124252,88,0.1186147811698599,8.8,0.5558638139204546
0.1,29,SUCCESS,above,102.15116973675161,76,0.2395567477170738,7.6000000000000005,0.5946751644736842
0.1,30,SUCCESS,below,-63.86117694392269,91,0.1008389998138906,9.1,0.41895604395604397
0.1,31,SUCCESS,left,-38.5447077160966,83,0.12416481516800543,8.3,0.4810805722891566
0.1,32,SUCCESS,left,-34.24491267425165,84,0.12460124090647035,8.4,0.5017903645833334
0.1,33,SUCCESS,right,-150.63467809882945,87,0.09705665950298736,8.700000000000001,0.5259743175287356
0.1,34,SUCCESS,below,-110.05338309671059,85,0.11601933945380066,8.5,0.4520220588235294
0.1,35,SUCCESS,below,-48.19012770915603,79,0.16978239651174554,7.9,0.47161787974683544
0.1,36,SUCCESS,above,110.04936820716593,79,0.1377920838251651,7.9,0.6055923655063291
0.1,37,SUCCESS,left,-11.726969173507305,90,0.09354091154436006,9.0,0.5467664930555556
0.1,38,SUCCESS,above,81.13807914895894,82,0.1008160748375545,8.200000000000001,0.5500190548780488
0.1,39,SUCCESS,above,68.39527167683912,71,0.3358981098557494,7.1000000000000005,0.6016725352112676
0.1,40,SUCCESS,below,-45.56232775828442,83,0.1347419730722163,8.3,0.4836219879518072
0.1,41,SUCCESS,left,-33.4191247319638,81,0.15383859155296287,8.1,0.4798900462962963
0.1,42,SUCCESS,right,-145.68085131584027,87,0.1068966790304694,8.700000000000001,0.5041082974137931
0.1,43,SUCCESS,left,0.8864489844961106,105,0.16800622217605754,10.5,0.5313988095238096
0.1,44,SUCCESS,left,-30.79548030169619,89,0.1245685644759143,8.9,0.49879301264044945
0.1,45,SUCCESS,above,100.19669302876622,89,0.09161811372947776,8.9,0.5684032654494382
0.1,46,SUCCESS,right,-145.64767298202935,81,0.14216364381460833,8.1,0.5613184799382716
0.1,47,SUCCESS,above,133.33015093092976,83,0.10774510973620244,8.3,0.5957501882530121
0.1,48,SUCCESS,right,-135.32034966483596,76,0.2184559204075146,7.6000000000000005,0.5374177631578947
0.1,49,SUCCESS,below,-59.26846905904312,82,0.1323173297391041,8.200000000000001,0.4420969893292683
0.1,50,SUCCESS,above,101.59624637658294,78,0.21016506666994528,7.800000000000001,0.5819310897435898
0.1,51,SUCCESS,below,-59.32581716996766,87,0.06355304136163265,8.700000000000001,0.43027119252873564
0.1,52,SUCCESS,above,62.41657500148392,82,0.12022035831602113,8.200000000000001,0.5513052591463414
0.1,53,SUCCESS,above,85.41772441407392,81,0.1711659688361864,8.1,0.5602575231481481
0.1,54,SUCCESS,left,-36.738535237819704,78,0.19656269666431248,7.800000000000001,0.49256310096153844
0.1,55,SUCCESS,above,117.25641301233979,82,0.1011499087682095,8.200000000000001,0.5842701981707317
0.1,56,SUCCESS,below,-132.3355651081673,92,0.08938738931007328,9.200000000000001,0.3890327785326087
0.1,57,SUCCESS,left,22.17169490700136,80,0.1797763438261225,8.0,0.5595458984375
0.1,58,SUCCESS,below,-54.5189919584723,86,0.10077218356453949,8.6,0.4507630813953488
0.1,59,SUCCESS,left,-14.71358789148407,80,0.205744959635356,8.0,0.571435546875
