group,method,regime,gamma,episode,seed,status,route,source,row
paper-ready-pre2,PRE2,,0.1,15,92555,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,0
paper-ready-pre2,PRE2,,0.1,22,92814,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,1
paper-ready-pre2,PRE2,,0.1,0,92000,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,2
paper-ready-pre2,PRE2,,0.1,19,92703,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,3
paper-ready-pre2,PRE2,,0.1,14,92518,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,4
paper-ready-pre2,PRE2,,0.1,7,92259,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,5
paper-ready-pre2,PRE2,,0.1,12,92444,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,6
paper-ready-pre2,PRE2,,0.1,21,92777,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,7
paper-ready-less-expanded,Expanded,,0.1,29,93073,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,0
paper-ready-less-expanded,Expanded,,0.1,46,93702,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,1
paper-ready-less-expanded,Expanded,,0.1,47,93739,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,2
paper-ready-less-expanded,Expanded,,0.1,48,93776,SUCCESS,LRR,trajectories/paper_ready_bowling_handoff.pt,3
paper-ready-less-expanded,Expanded,,0.1,24,92888,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,4
paper-ready-less-expanded,Expanded,,0.1,4,92148,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,5
paper-ready-less-expanded,Expanded,,0.1,26,92962,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,6
paper-ready-less-expanded,Expanded,,0.1,17,92629,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,7
paper-ready-expanded,Expanded,,0.1,227,100399,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,0
paper-ready-expanded,Expanded,,0.1,230,100510,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,1
paper-ready-expanded,Expanded,,0.1,260,101620,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,2
paper-ready-expanded,Expanded,,0.1,297,102989,SUCCESS,LRR,trajectories/paper_ready_bowling_handoff.pt,3
paper-ready-expanded,Expanded,,0.1,121,96477,SUCCESS,RLL,trajectories/paper_ready_bowling_handoff.pt,4
paper-ready-expanded,Expanded,,0.1,267,101879,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,5
paper-ready-expanded,Expanded,,0.1,4,92148,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,6
paper-ready-expanded,Expanded,,0.1,60,94220,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,7
paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,0,314159,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,0
paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,1,314196,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,1
