flight_id,view,method,regime,gamma,route,episode,seed,simulated_status,hardware_eligibility,flight_reference,flight_reference_sha256,source_archive,source_archive_sha256,source_group,source_row,checkpoint_sha256,config_sha256
0814_pre2_default_e15_s92555,paper-ready-pre2,PRE2,,0.1,RRR,15,92555,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e15_seed_92555_100hz.npz,fddb29a9d0d111b1d927373f61d7d7b55f23f5152f0a980bf6a44d780121b5c4,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,0,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e22_s92814,paper-ready-pre2,PRE2,,0.1,RRL,22,92814,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e22_seed_92814_100hz.npz,49ff04a0db2cd3531f84a13cf1c317767e68018c465dbfa3d128097fcc594002,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,1,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e0_s92000,paper-ready-pre2,PRE2,,0.1,LLL,0,92000,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e0_seed_92000_100hz.npz,1378ff40ffe3e347e3895fae818489259fc45f0dffdae83502b6141c5265be76,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,2,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e19_s92703,paper-ready-pre2,PRE2,,0.1,LLL,19,92703,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e19_seed_92703_100hz.npz,f94da2adbc3b96a311d40ba7dd997347666bd17f2cd84d40ff5e5f61e21088cf,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,3,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e14_s92518,paper-ready-pre2,PRE2,,0.1,LLL,14,92518,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e14_seed_92518_100hz.npz,c4e408d2669496ade0d172bcc045e076e9bea154d9b22ae912493a7d0023a5ba,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,4,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e7_s92259,paper-ready-pre2,PRE2,,0.1,LLL,7,92259,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e7_seed_92259_100hz.npz,3a3ca9d1dea6f42f499ae633a108c1e4dc535faba97c8b78b3d3a20ae80b5bd3,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,5,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e12_s92444,paper-ready-pre2,PRE2,,0.1,LLL,12,92444,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e12_seed_92444_100hz.npz,82f1c9139da645bbe534cb580139e42ca25e65f872e0f9be329f5ebfbb53aac2,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,6,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_pre2_default_e21_s92777,paper-ready-pre2,PRE2,,0.1,LLL,21,92777,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/pre2/gamma_0p1_e21_seed_92777_100hz.npz,79a6b5da9530ca7f0a8a95a318e549dd8881990a036c0d17ff0864f4322c3a9c,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-pre2,7,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e29_s93073,paper-ready-less-expanded,Expanded_R1,,0.1,LLL,29,93073,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e29_seed_93073_100hz.npz,431e40bc06a1f9d7cf301803dcf77551855839f0503fbd2955c597705597eedc,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,0,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e46_s93702,paper-ready-less-expanded,Expanded_R1,,0.1,LLR,46,93702,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e46_seed_93702_100hz.npz,bada5dc61bfd3a2b80b10329df234a0e124a72de9c91f742889611e254cf915f,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,1,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e47_s93739,paper-ready-less-expanded,Expanded_R1,,0.1,LRL,47,93739,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e47_seed_93739_100hz.npz,5a488e4dc18a92e49aba8a2bde73828b0181cb14fc42e874d7de00e0c6625a96,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,2,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e48_s93776,paper-ready-less-expanded,Expanded_R1,,0.1,LRR,48,93776,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e48_seed_93776_100hz.npz,4bb5f3f3ff3eaeb6880008ded25890cd00be1906746c0f3faf47afb7d473b877,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,3,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e24_s92888,paper-ready-less-expanded,Expanded_R1,,0.1,LLL,24,92888,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e24_seed_92888_100hz.npz,680d7594e28c2e94e7a4bcd7eee3b49543dfcbce61060deab9d10dea622964b4,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,4,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e4_s92148,paper-ready-less-expanded,Expanded_R1,,0.1,LRL,4,92148,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e4_seed_92148_100hz.npz,4cf482ca6f3bac534f27f4eb994ad5febe71499b94dd4ded6f4c8eaf921544ed,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,5,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
