flight_id,view,method,regime,gamma,route,episode,seed,simulated_status,hard_real_geometry_pass,string_valid,hardware_eligibility,source_archive,source_archive_sha256,source_group,source_row,flight_reference,flight_reference_sha256,checkpoint_sha256,config_sha256,samples,duration_s,max_dense_position_reconstruction_error_m,max_knot_position_reconstruction_error_m,max_knot_velocity_reconstruction_error_mps,max_speed_mps,max_vertical_speed_mps,max_applied_acceleration_component_mps2
0815_pre2_default_e648_s814304648,real-paper-ready-pre2,PRE2,,0.3,LLL,648,814304648,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,0,flight_references/pre2/gamma_0p3_LLL_e648_seed_814304648_100hz.npz,4106a737f426b8d25fb3c7575e0e48b7e4038a7acf4e3b29df2a6abc5cefe10c,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1021,10.200000000000001,0.0,0.0,0.0,0.7000000476837158,0.12812574207782745,0.28918397426605225
0815_pre2_default_e21_s814302021,real-paper-ready-pre2,PRE2,,0.3,LLL,21,814302021,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,1,flight_references/pre2/gamma_0p3_LLL_e21_seed_814302021_100hz.npz,0c2e53b894adb3ca0c3ac877cac9a704ebf31c4a0fbe98943a09c08f0223efed,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1031,10.3,0.0,0.0,0.0,0.7000000476837158,0.0840233862400055,0.29726845026016235
0815_pre2_default_e406_s814302406,real-paper-ready-pre2,PRE2,,0.3,LLL,406,814302406,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,2,flight_references/pre2/gamma_0p3_LLL_e406_seed_814302406_100hz.npz,4e5fb5165ce8e838a8fa9697c73704af7ed81b0f494488432edf283f59aa6546,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,991,9.9,0.0,0.0,0.0,0.7000000476837158,0.11611735820770264,0.2891783118247986
0815_pre2_default_e317_s814302317,real-paper-ready-pre2,PRE2,,0.3,LLL,317,814302317,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,3,flight_references/pre2/gamma_0p3_LLL_e317_seed_814302317_100hz.npz,cfedbebf1a796f1624300529a1fa04bc6914f80be585d600247eabe0bd8f346d,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1091,10.9,0.0,0.0,0.0,0.7000000476837158,0.072175033390522,0.2952316701412201
0815_pre2_default_e295_s814304295,real-paper-ready-pre2,PRE2,,0.3,LLL,295,814304295,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,4,flight_references/pre2/gamma_0p3_LLL_e295_seed_814304295_100hz.npz,5c265b9931ffa36c677efc203232f59f256b749daf4edea42136294ec97b1869,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1051,10.5,0.0,0.0,0.0,0.7000000476837158,0.12867656350135803,0.2904506027698517
0815_pre2_default_e407_s814302407,real-paper-ready-pre2,PRE2,,0.3,LLL,407,814302407,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,5,flight_references/pre2/gamma_0p3_LLL_e407_seed_814302407_100hz.npz,d533d4f1004d9ccec77627b5175daa801a2464d1e3ecea71b79aa2f1a172f2c7,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1071,10.700000000000001,0.0,0.0,0.0,0.7000000476837158,0.10037817060947418,0.2932097911834717
0815_pre2_default_e373_s814301373,real-paper-ready-pre2,PRE2,,0.3,RRR,373,814301373,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,6,flight_references/pre2/gamma_0p3_RRR_e373_seed_814301373_100hz.npz,c209969cd94258d888227617251a7d650c59dc023e93ca8462f4ac83db042d37,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1051,10.5,0.0,0.0,0.0,0.7000000476837158,0.14811499416828156,0.28687888383865356
0815_pre2_default_e759_s814304759,real-paper-ready-pre2,PRE2,,0.3,RRR,759,814304759,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-pre2,7,flight_references/pre2/gamma_0p3_RRR_e759_seed_814304759_100hz.npz,5c6f8937681de4c8fb297356e572267c72783bc5e9138b33b7834ca1366eb203,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1121,11.200000000000001,0.0,0.0,0.0,0.7000000476837158,0.13466499745845795,0.2862420082092285
0815_less_expanded_default_e152_s814311152,real-paper-ready-less-expanded,Expanded_R1,,0.3,LLL,152,814311152,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-less-expanded,0,flight_references/less_expanded/gamma_0p3_LLL_e152_seed_814311152_100hz.npz,2a2f204c3d4583af1a0525f79d0d4cce3063d07d41ce64f6d6d9621d1b1ae143,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1071,10.700000000000001,0.0,0.0,0.0,0.6578783988952637,0.11387979984283447,0.28613099455833435
0815_less_expanded_default_e187_s814311187,real-paper-ready-less-expanded,Expanded_R1,,0.3,RRR,187,814311187,SUCCESS,True,True,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,trajectories/real_selected_trajectories.pt,0cfcc04ebfc88b76dad424d50e87b227ef5ed408052ced2572412473fdd5ec11,real-paper-ready-less-expanded,1,flight_references/less_expanded/gamma_0p3_RRR_e187_seed_814311187_100hz.npz,4b7eef7612e25157a8217a61c38edbd412a50ca3ef414d61f5f9c654f0cd291f,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,1321,13.200000000000001,0.0,0.0,0.0,0.7000000476837158,0.1323063224554062,0.29042181372642517
