gamma,seed,file,reference_success,reference_reached,reference_collision,reference_taskspace_violation,plant_success,plant_reached,plant_collision,plant_taskspace_violation,plant_true_soft_geofence_violation,plant_measured_soft_geofence_violation,plant_true_hard_geofence_violation,plant_measured_hard_geofence_violation,raw_action_cap_fraction,reference_speed_cap_fraction,reference_vertical_speed_cap_fraction,applied_action_cap_fraction,clearance_erosion_m,reference_min_clearance_m,plant_min_clearance_m,minimum_true_soft_geofence_margin_m,minimum_measured_soft_geofence_margin_m,minimum_true_hard_geofence_margin_m,minimum_measured_hard_geofence_margin_m,raw_reference_tracking_rmse_m,raw_reference_tracking_max_error_m,command_tracking_rmse_m,command_tracking_max_error_m,reference_command_rmse_m,command_clip_fraction,current_state_position_weight,peak_reference_speed_mps,peak_plant_speed_mps,peak_abs_plant_vertical_speed_mps,max_abs_applied_acceleration_mps2,time_to_goal_s
0.1,3,run_g0.1_s3.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.7215189873417721,0.1620253164556962,0.0,0.0,0.10545290826012632,0.18184396771501043,0.07639105945488411,0.11711130142211912,0.11488274335861204,0.26711130142211914,0.26488274335861206,0.15646955370903015,0.3487820625305176,0.15646955370903015,0.3487820625305176,0.0,0.0,0.0,0.700004518032074,0.8564373850822449,0.24256882071495056,0.29998090863227844,8.38381344473175
0.1,4,run_g0.1_s4.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8395061728395061,0.1728395061728395,0.0,0.0,0.10694496498684891,0.17212206284423448,0.06517709785738557,0.09637484550476072,0.09520131945610044,0.24637484550476074,0.24520131945610046,0.16254036128520966,0.38190126419067383,0.16254036128520966,0.38190126419067383,0.0,0.0,0.0,0.700004518032074,0.915727436542511,0.20878010988235474,0.2998589873313904,8.541468720222266
0.1,5,run_g0.1_s5.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8333333333333334,0.14523809523809525,0.0,0.0,0.057152908609327036,0.113173227164373,0.05602031855504597,0.06880292892456052,0.06569395065307615,0.21880292892456055,0.21569395065307617,0.15090245008468628,0.3051662743091583,0.15090245008468628,0.3051662743091583,0.0,0.0,0.0,0.7000028491020203,0.9132460355758667,0.17552073299884796,0.29993605613708496,8.957786742759247
0.1,6,run_g0.1_s6.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8048780487804879,0.06707317073170732,0.0,0.0,0.07893505486890928,0.1530216238221006,0.07408656895319132,0.0541618227958679,0.05161548256874082,0.20416182279586792,0.20161548256874084,0.1349075883626938,0.2490559071302414,0.1349075883626938,0.2490559071302414,0.0,0.0,0.0,0.7000027298927307,0.7507146000862122,0.21856746077537537,0.2999386489391327,8.791764956154974
0.1,9,run_g0.1_s9.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8111111111111111,0.19555555555555557,0.0,0.0,0.01057390182034773,0.0804777579101123,0.06990385608976457,0.06769803762435911,0.0652748107910156,0.21769803762435913,0.21527481079101562,0.1607845574617386,0.43718454241752625,0.1607845574617386,0.43718454241752625,0.0,0.0,0.0,0.7000053524971008,0.9678274393081665,0.19533243775367737,0.29984769225120544,9.466722407519175
0.1,10,run_g0.1_s10.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.759493670886076,0.11139240506329114,0.0,0.012658227848101266,0.10004289949544637,0.15852118930130732,0.05847828980586095,0.10552475452423093,0.10272858142852781,0.25552475452423096,0.25272858142852783,0.15766920149326324,0.267089307308197,0.15766920149326324,0.267089307308197,0.0,0.0,0.0,0.7000043392181396,0.8061695694923401,0.20926746726036072,0.2999904751777649,8.412400129608079
0.1,11,run_g0.1_s11.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8205128205128205,0.15,0.0,0.0,0.06964211170063295,0.18548937273419275,0.1158472610335598,0.09737676978111265,0.09432024359703062,0.24737676978111267,0.24432024359703064,0.1587945967912674,0.26001980900764465,0.1587945967912674,0.26001980900764465,0.0,0.0,0.0,0.7000048160552979,0.7900657057762146,0.2350628674030304,0.2999154031276703,8.266191904408128
0.1,12,run_g0.1_s12.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8214285714285714,0.18095238095238095,0.0,0.0,0.05100832488064144,0.13227440782003652,0.08126608293939508,0.09329006671905515,0.0907160699367523,0.24329006671905518,0.24071606993675232,0.1500140130519867,0.33753344416618347,0.1500140130519867,0.33753344416618347,0.0,0.0,0.0,0.7000030279159546,0.9131203889846802,0.2424677163362503,0.2999470829963684,8.932202614771375
0.1,13,run_g0.1_s13.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8076923076923077,0.18717948717948718,0.0,0.0,0.07264184285245523,0.20634010806976466,0.13369826521730943,0.08857557773590086,0.0848532974720001,0.23857557773590088,0.23485329747200012,0.17071443796157837,0.2551136612892151,0.17071443796157837,0.2551136612892151,0.0,0.0,0.0,0.7000060677528381,0.7804702520370483,0.21980516612529755,0.2999154031276703,8.2380043373254
0.1,14,run_g0.1_s14.npz,True,True,False,False,True,True,False,False,False,False,False,False,0.8444444444444444,0.0811111111111111,0.0,0.0,0.06721348461165705,0.10169606434228162,0.034482579730624574,0.049315369129180886,0.04792935252189634,0.1993153691291809,0.19792935252189636,0.13877201080322266,0.2867421805858612,0.13877201080322266,0.2867421805858612,0.0,0.0,0.0,0.7000032663345337,0.8420463800430298,0.2343388944864273,0.29996955394744873,9.497108847893722
